標題,連結,作者,日期
台新新光投信合併！存續名稱、人事、未來布局一次看,https://tinyurl.com/23wwzgm8,鄭思楠,2025-11-24 11:40
投信打頭陣！ 台新新光金吳東亮：明年壽險接棒,https://tinyurl.com/28poljcm,陳俐妏,2025-11-24 11:46
不甩AI泡沫，華爾街喊衝！標普500明年再漲15％，6大投資策略曝光,https://tinyurl.com/289z2lav,王貞懿 編譯,2025-11-24 11:49
必和必拓再出手「搶親」英美資源，強勢攔胡泰克銅業聯姻,https://tinyurl.com/2xlclx85,財訊快報,2025-11-24 11:49
千問恐慌！阿里巴巴的AI野心如何撼動矽谷,https://tinyurl.com/26mcs4wr,陳宜伶 編譯,2025-11-24 11:49
台新新光金投信子公司完成合併，台新投信資產躋身前十大，挑戰兆元規模,https://tinyurl.com/2d275b7m,財訊快報,2025-11-24 11:42
無人機又燒起來！雷虎強勢攻頂「這檔軍工股」外資連五日敲進、狂飆近7%,https://tinyurl.com/24s98ll8,FTNN新聞網,2025-11-24 11:50
調查：逾9成消費者精明消費　為高回饋辦卡,https://tinyurl.com/22wz34qe,The Central News Agency 中央通訊社,2025-11-24 11:46
萬元現金放大術！和逸飯店推「入住一萬，再贈一萬」住房專案,https://tinyurl.com/2xv8xzwa,工商時報 姚舜,2025-11-24 11:48
涉虛增營業收入 李洲科技董座李明順起訴,https://tinyurl.com/25a9de97,王定傳,2025-11-24 11:49
AI泡沫化衝擊    這檔台股基金勇！投報率超過50%,https://tinyurl.com/2aryo56q,民視財經網,2025-11-24 11:49
泰博多參數與CGM成新引擎，2026年營運拚增5～10%,https://tinyurl.com/28of7y57,財訊快報,2025-11-24 11:50
櫃買指數大漲逾1.5%比大盤強！分析師：半年線黃金交叉撐反攻力道,https://tinyurl.com/27ejgvko,湯暖萱｜Yahoo財經特派記者,2025-11-24 11:50
週休3日連署過關！ 486先生喊「這些產業」將受惠,https://tinyurl.com/2yur67n5,東森財經,2025-11-24 11:42
鴻海劉揚偉喊出 Foxconn Inside！ 關鍵電芯佈局瞄準3技術,https://tinyurl.com/2ahkgez4,記者王郁倫/台北即時報導,2025-11-24 11:51
週休3日連署過關！ 486先生喊「這些產業」將受惠,https://tinyurl.com/23wzdljp,東森財經,2025-11-24 11:42
《HKEX台股期貨》11:45，11月台股指數期貨漲4.3點，為1148點,https://tinyurl.com/223r84ov,時報資訊,2025-11-24 11:47
《商情》油價跌勢不止 亞洲溶劑二甲苯回落逾2%,https://tinyurl.com/24y9xytn,時報資訊,2025-11-24 11:55
《商情》到貨成本居高 中國糧食運價指數反彈0.5%,https://tinyurl.com/275597w2,時報資訊,2025-11-24 11:55
《商情》歐美線弱勢 SCFI指數挫近一個月新低,https://tinyurl.com/23eb5gd5,時報資訊,2025-11-24 11:55
必和必拓再出手「搶親」英美資源，強勢攔胡泰克銅業聯姻,https://tinyurl.com/2xlclx85,財訊快報,2025-11-24 11:49
《國際油價》俄烏停火有望 11/24歐美原油期貨電子盤續疲,https://tinyurl.com/22naus6x,時報資訊,2025-11-24 11:49
泰博多參數與CGM成新引擎，2026年營運拚增5～10%,https://tinyurl.com/28of7y57,財訊快報,2025-11-24 11:50
《科技》HPE攜手合作伙伴 組量子擴展聯盟加速突破,https://tinyurl.com/28tctrxq,時報資訊,2025-11-24 11:56
韓產業部長：與台合作可爭取半導體最優惠關稅,https://tw.stock.yahoo.com/news/%E9%9F%93%E7%94%A2%E6%A5%AD%E9%83%A8%E9%95%B7-%E8%88%87%E5%8F%B0%E5%90%88%E4%BD%9C%E5%8F%AF%E7%88%AD%E5%8F%96%E5%8D%8A%E5%B0%8E%E9%AB%94%E6%9C%80%E5%84%AA%E6%83%A0%E9%97%9C%E7%A8%85-035249826.html,中央社,2025-11-24 11:52
