標題,連結,作者,日期
仁大資訊明起每股底價32.8元競拍，12/10掛牌，承銷價每股41元,https://tinyurl.com/2ar8qj8y,財訊快報,2025-11-24 11:57
《金融股》台新、新光投信正式合併 資產躋身前十大未來挑戰兆元規模,https://tinyurl.com/2ces5ull,時報資訊,2025-11-24 11:58
軍工概念股高飛　雷虎漲停、漢翔亞航勁揚,https://tinyurl.com/22d8y8w3,中央社,2025-11-24 12:05
《商情》下游買盤多觀望 本周廢鋼、鋼筋、型鋼全面平盤,https://tinyurl.com/2bqrw7vt,時報資訊,2025-11-24 11:56
《盤中解析》反攻季線氣虛 支撐看26K、靜待AI表態,https://tinyurl.com/2c4zlgsx,時報資訊,2025-11-24 12:06
《科技》HPE攜手合作伙伴 組量子擴展聯盟加速突破,https://tinyurl.com/28tctrxq,時報資訊,2025-11-24 11:56
新台幣午盤貶3.6分　暫收31.466元,https://tinyurl.com/2b6ydcss,中央社,2025-11-24 12:07
《HKEX台股期貨》12:00，11月台股指數期貨漲4.1點，為1147.8點,https://tinyurl.com/2c7zmfcd,時報資訊,2025-11-24 12:03
產油國強硬、美國缺席，COP30折衷協議拍板，化石燃料爭議暫擱置,https://tinyurl.com/2xpfy2vp,財訊快報,2025-11-24 12:05
台新、新光投信合併躍居第9大　力拚資產規模破兆,https://tinyurl.com/299ev5t2,中央社,2025-11-24 12:11
《金融股》輝達用地底定！吳東亮喊話：盼全民給新壽最大肯定,https://tinyurl.com/26tc8qe4,時報資訊,2025-11-24 12:06
《熱門族群》國家隊撐腰！矽光子大小通吃 2檔高掛紅燈,https://tinyurl.com/2d4zwxlb,時報資訊,2025-11-24 12:08
《熱門族群》亂世梟雄！被動元件2小兵連閃2紅燈,https://tinyurl.com/23vytmb2,時報資訊,2025-11-24 12:11
威潤減資換發新股上櫃買賣，早盤跳空漲停，前三季虧損收斂,https://tinyurl.com/23afrrnq,財訊快報,2025-11-24 12:11
《商情》歐美線弱勢 SCFI指數挫近一個月新低,https://tinyurl.com/23eb5gd5,時報資訊,2025-11-24 11:55
週休三日有望？ 勞動部長洪申翰最新回應曝,https://tinyurl.com/2yy3o9fe,東森財經,2025-11-24 12:15
《HKEX台股期貨》12:15，11月台股指數期貨漲3.7點，為1147.4點,https://tinyurl.com/24smvu97,時報資訊,2025-11-24 12:17
《經濟》連署通過！周休三日有譜？洪申翰最新回應曝光,https://tinyurl.com/23te2fy3,時報資訊,2025-11-24 12:29
記憶體、網通、軍工股反彈，加權指數上漲百餘點,https://tinyurl.com/23hb6euz,財訊快報,2025-11-24 12:11
《國際經濟》與川普重啟貿易協商 加拿大總理給答案,https://tinyurl.com/29jofjmn,時報資訊,2025-11-24 12:14
