標題,連結,作者,日期
慘！雲林家扶歲末園遊會 只籌到3成費用,https://tinyurl.com/239u4wrq,黃淑莉,2025-11-24 13:22
黃子佼被害人全和解！終於鬆口「離婚孟耿如真相」：深切且沉重,https://tinyurl.com/2ymaple6,侯家瑜,2025-11-24 13:22
倫敦擬對遊客徵收城市「觀光稅」會打擊英國旅遊業嗎?,https://tinyurl.com/28q24khm,庫梅爾·賈弗（Kumail Jaffer）,2025-11-24 13:23
千人自行車賽出車禍　15歲小選手摔倒後遭轎車撞擊｜#鏡新聞,https://tinyurl.com/23ol4yjr,鏡新聞,2025-11-24 13:22
聯手終結「傅氏王朝」？民進黨布局花蓮找上「踹桌議長」張峻　本人鬆口證實,https://tinyurl.com/29jpbah8,張庭維,2025-11-24 13:25
馬來西亞擬自2026年起「全面禁止」16歲以下青少年使用社群媒體,https://tinyurl.com/2ypfpo54,火報,2025-11-24 13:22
無照駕駛三讀通過加重罰鍰　桃市府提醒考照再上路,https://tinyurl.com/2bc2bxp6,記者葉志成  ／桃園報導,2025-11-24 13:25
柯文哲「不藍不綠」VS黃國昌「逢綠必反」　民進黨：明年2月1日是藍白合攤牌時刻,https://tinyurl.com/2cvmanna,胡智凱,2025-11-24 13:25
AI測試需求大爆發！「探針卡大廠」強勢攻上漲停　前三季EPS年增280%超亮眼,https://tinyurl.com/24hl3qws,FTNN新聞網,2025-11-24 13:25
神基業績連年成長，週六家庭日場面熱鬧，估明年業績破400億續創高,https://tinyurl.com/23szzx3t,財訊快報,2025-11-24 13:18
中職/樂天桃猿要轉賣？蔡其昌澄清：沒聽說過,https://tinyurl.com/2aeypl4o,譚兆青,2025-11-24 13:18
黃子佼與被害人全數和解！發聲明懺悔：因愚蠢好奇心誤觸法律,https://tinyurl.com/2aa6ewfc,台視新聞網,2025-11-24 13:17
Android 陣營全面破壁！Qualcomm 明示搭載 Snapdragon 晶片的裝置也將能 AirDrop 相片、檔案,https://tinyurl.com/295gd9no,Sanji Feng,2025-11-24 13:27
《興櫃股》新SoC強攻高階市場！傑霖：明年營收目標站回去年之上,https://tinyurl.com/2dlsap7r,時報資訊,2025-11-24 12:46
《HKEX台股期貨》12:45，11月台股指數期貨漲2.7點，為1146.4點,https://tinyurl.com/25nugv7j,時報資訊,2025-11-24 12:52
陸配返台帶「草仔粿」被罰20萬　喊不知有豬肉！拖5個月才繳清,https://tinyurl.com/2xv3fj5q,羅心妤,2025-11-24 13:18
服務生哭喊「薪水不夠賠」！謝金燕見她誤送龍蝦餐　處置方式曝光,https://tinyurl.com/26qsu46v,三立新聞網,2025-11-24 13:18
美國稱俄烏「和平計劃」已取得「巨大進展」,https://tinyurl.com/2238z9sv,雅羅斯拉夫·盧基夫（Jaroslav Lukiv）,2025-11-24 13:18
《HKEX台股期貨》13:00，11月台股指數期貨漲3點，為1146.7點,https://tinyurl.com/2atjgbxe,時報資訊,2025-11-24 13:02
政府擬購反無人機系統　無人機概念股強漲,https://tinyurl.com/2yfw7dvx,中央社,2025-11-24 13:09
《鋼鐵股》豐興鋼筋、廢鋼升轉平 盤價全面持平,https://tinyurl.com/28xgu77v,時報資訊,2025-11-24 12:55
《文創股》鈊象取得加拿大博弈執照擴大海外能量 投信近期連續押寶,https://tinyurl.com/26p66tqy,時報資訊,2025-11-24 13:20
《產業》與新壽正式分手！李四川曝：今已完成解約並塗銷地上權,https://tinyurl.com/23xne9lt,時報資訊,2025-11-24 13:27
快訊》黃子佼涉「創意私房」案　律師發聲：與被害人全數和解,https://tinyurl.com/2c2z3d3g,余泰諄、蘇士亨、中時 謝采恩,2025-11-24 12:48
揮手也有學問！2台公車同時來怎麼攔　司機親授祕訣「這樣比」秒懂,https://tinyurl.com/2bkw3fzx,曹莉穎,2025-11-24 12:48
台灣面臨2股危險力量 洪秀柱：和平統一才有真正安全,https://tinyurl.com/29upktnr,東森財經,2025-11-24 13:19
《HKEX台股期貨》13:15，11月台股指數期貨漲2.4點，為1146.1點,https://tinyurl.com/28bywrtn,時報資訊,2025-11-24 13:17
北市建國高架3車連撞　民間救護車上3人送醫,https://tinyurl.com/2avmf7kq,周刊王CTWANT |林冠吟,2025-11-24 12:53
基隆大型社區驚傳槍響！男子頭部中彈 倒臥在「反鎖的廁所」身亡,https://tinyurl.com/2b5hqrrz,台視新聞網,2025-11-24 12:48
《交通》國道1號中豐交流道進度超前3％ 年底有望提前通車,https://tinyurl.com/28lp7hba,時報資訊,2025-11-24 13:28
《交通》花蓮共享自行車要來了！預計設置1500輛 滿足旅遊代步需求,https://tinyurl.com/28okdxyy,時報資訊,2025-11-24 13:11
《傳產》永和大陳地區單元6公辦都更動土 2030年底拚入住,https://tinyurl.com/28vfok7q,時報資訊,2025-11-24 13:15
《半導體》威剛董座：股價起伏僅一時 缺貨短期仍無解,https://tinyurl.com/22u9n2gh,時報資訊,2025-11-24 13:23
開車門不看後面 機車騎士慘摔畫面曝光,https://tinyurl.com/24quul8c,東森新聞,2025-11-24 12:53
